initialConsent	383	0	9.6	7.28	0.95	4.54	8.7
readConsent	17611	0	440.3	0.05	0.00	0.01	440.2
grantRevokeConsent	396	0	9.9	7.05	0.77	4.50	8.8
uploadArtwork	434	0	11.5	8.83	0.74	4.24	9.5
readArtwork	18929	0	473.2	0.04	0.00	0.01	473.2
transferArtwork	33	505	13.5	5.03	0.85	2.62	0.8
getHistoryForArtwork	11682	0	292.1	0.14	0.01	0.04	291.9
addLog	368	0	9.2	6.51	0.76	4.28	8.3
readLog	17732	0	443.3	0.10	0.00	0.01	443.3
addModel	439	0	11.1	6.39	0.82	3.72	9.6
readModel	18924	0	473.1	0.04	0.00	0.01	473.1
invokeModel	317	0	8.6	10.72	2.29	5.75	7.3
addWallet	385	0	9.6	10.11	0.88	4.57	8.2
readBalance	18541	0	463.5	0.04	0.00	0.01	463.5
transferBlalance	27	457	12.1	6.70	1.14	3.54	0.6
