initialConsent	522	0	10.4	7.31	1.33	4.14	9.6
readConsent	23077	0	461.6	0.07	0.00	0.01	461.5
grantRevokeConsent	552	0	11.5	6.75	1.17	4.04	10.1
uploadArtwork	549	0	11.4	6.00	1.03	3.67	10.6
readArtwork	24906	0	498.1	0.04	0.00	0.01	498.1
transferArtwork	35	775	16.2	5.12	1.94	3.20	0.7
getHistoryForArtwork	20749	0	415.0	0.05	0.01	0.01	414.9
addLog	523	0	10.7	5.50	1.22	3.65	9.7
readLog	23122	0	462.5	0.05	0.00	0.01	462.4
addModel	522	0	10.4	7.42	0.89	3.86	9.8
readModel	24955	0	499.1	0.04	0.00	0.01	499.1
invokeModel	433	0	9.1	9.06	0.84	5.12	8.2
addWallet	458	0	9.7	7.29	1.40	4.30	8.6
readBalance	24716	0	494.3	0.16	0.00	0.01	494.3
transferBlalance	30	800	16.6	4.30	1.84	3.06	0.6
