initialConsent	502	0	10.6	7.51	1.04	3.73	9.3
readConsent	23132	0	462.7	0.18	0.00	0.01	462.6
grantRevokeConsent	592	0	12.1	7.02	1.11	3.51	10.6
uploadArtwork	748	0	15.1	6.57	1.06	2.89	13.7
readArtwork	24049	0	481.0	0.05	0.00	0.01	480.9
transferArtwork	38	899	18.7	3.75	1.44	2.61	0.7
getHistoryForArtwork	18872	0	377.5	0.07	0.01	0.02	377.4
addLog	550	0	11.6	5.97	1.01	3.57	10.3
readLog	22785	0	455.7	0.06	0.00	0.01	455.6
addModel	550	0	11.1	7.72	0.87	3.96	9.8
readModel	24519	0	490.4	0.04	0.00	0.01	490.3
invokeModel	330	0	6.9	14.60	2.67	6.86	6.2
addWallet	580	0	11.6	6.32	0.85	3.53	10.4
readBalance	25365	0	507.3	0.05	0.00	0.01	507.2
transferBlalance	33	840	17.5	6.26	1.55	2.97	0.6
